iter	Passed	Remaining
0	224	145288
1	425	137433
2	652	140392
3	850	136953
4	992	127671
5	1182	126533
6	1389	127215
7	1602	128208
8	1818	129134
9	2036	129950
10	2262	131038
11	2475	131197
12	2681	130965
13	2889	130859
14	3085	130213
15	3293	130100
16	3538	131333
17	3753	131364
18	3950	130798
19	4158	130582
20	4364	130298
21	4596	130779
22	4814	130819
23	5013	130358
24	5195	129474
25	5399	129165
26	5611	129074
27	5826	129009
28	6082	129819
29	6279	129347
30	6471	128810
31	6681	128618
32	6906	128715
33	7133	128828
34	7322	128241
35	7520	127844
36	7717	127436
37	7941	127475
38	8174	127647
39	8392	127563
40	8624	127685
41	8849	127689
42	9067	127571
43	9287	127491
44	9513	127485
45	9712	127108
46	9927	126950
47	10123	126538
48	10353	126570
49	10541	126082
50	10719	125486
51	10910	125054
52	11132	124973
53	11350	124859
54	11596	125035
55	11761	124333
56	11964	124049
57	12141	123509
58	12354	123335
59	12580	123287
60	12803	123210
61	13030	123162
62	13244	122987
63	13456	122790
64	13674	122649
65	13906	122630
66	14135	122581
67	14317	122120
68	14527	121901
69	14710	121469
70	14901	121101
71	15128	121028
72	15362	121003
73	15599	120999
74	15820	120869
75	16059	120867
76	16253	120528
77	16451	120220
78	16658	119984
79	16871	119790
80	17036	119255
81	17214	118819
82	17416	118556
83	17636	118416
84	17841	118176
85	18035	117861
86	18254	117711
87	18473	117557
88	18660	117206
89	18870	116999
90	19098	116898
91	19285	116552
92	19477	116235
93	19672	115942
94	19861	115615
95	20103	115597
96	20327	115466
97	20542	115288
98	20715	114874
99	20905	114562
100	21108	114320
101	21303	114035
102	21498	113755
103	21706	113539
104	21930	113409
105	22153	113275
106	22347	112990
107	22534	112674
108	22756	112528
109	22997	112476
110	23212	112296
111	23399	111983
112	23615	111806
113	23826	111609
114	24032	111383
115	24242	111179
116	24446	110947
117	24668	110799
118	24894	110666
119	25097	110428
120	25302	110203
121	25520	110030
122	25720	109784
123	25932	109584
124	26167	109485
125	26371	109255
126	26575	109023
127	26791	108839
128	26999	108627
129	27198	108373
130	27395	108119
131	27583	107827
132	27758	107484
133	27905	107041
134	28091	106747
135	28312	106588
136	28487	106257
137	28706	106088
138	28918	105894
139	29126	105687
140	29326	105452
141	29525	105208
142	29744	105040
143	29947	104815
144	30146	104578
145	30367	104412
146	30585	104241
147	30783	103998
148	30988	103778
149	31202	103591
150	31387	103307
151	31574	103032
152	31780	102819
153	31983	102597
154	32205	102435
155	32426	102269
156	32637	102069
157	32805	101737
158	33013	101531
159	33186	101219
160	33376	100960
161	33594	100783
162	33793	100551
163	33984	100296
164	34189	100081
165	34338	99705
166	34544	99496
167	34708	99167
168	34878	98856
169	35073	98617
170	35276	98403
171	35472	98167
172	35674	97950
173	35857	97679
174	36037	97405
175	36185	97041
176	36373	96791
177	36568	96556
178	36781	96371
179	37013	96236
180	37234	96068
181	37402	95767
182	37546	95404
183	37712	95100
184	37912	94883
185	38084	94596
186	38303	94427
187	38499	94201
188	38690	93963
189	38884	93732
190	39055	93446
191	39243	93203
192	39454	93014
193	39653	92798
194	39844	92562
195	39978	92195
